Time [s],Channel 0,Channel 1,resp_gpio10,ce,csn,sck,miso,mosi
0.230874250,1,1,0,1,0,1,1,0
0.230874333,1,1,0,1,0,0,1,1
0.230874500,1,1,0,1,0,1,1,1
0.230874583,1,1,0,1,0,0,1,1
0.230874750,1,1,0,1,0,1,1,1
0.230874917,1,1,0,1,0,0,0,1
0.230875000,1,1,0,1,0,1,0,1
0.230875167,1,1,0,1,0,0,0,0
0.230886083,1,1,0,1,0,1,0,0
0.230886167,1,1,0,1,0,0,0,0
0.230886333,1,1,0,1,0,1,0,0
0.230886500,1,1,0,1,0,0,0,0
0.230886583,1,1,0,1,0,1,0,0
0.230886750,1,1,0,1,0,0,1,0
0.230886833,1,1,0,1,0,1,1,0
0.230887000,1,1,0,1,0,0,0,0
0.230887083,1,1,0,1,0,1,0,0
0.230887250,1,1,0,1,0,0,0,0
0.230887333,1,1,0,1,0,1,0,0
0.230887500,1,1,0,1,0,0,0,0
0.230887583,1,1,0,1,0,1,0,0
0.230887750,1,1,0,1,0,0,1,0
0.230887833,1,1,0,1,0,1,1,0
0.230888000,1,1,0,1,0,0,0,0
0.230895750,1,1,0,1,1,0,0,0
0.230988667,1,1,0,1,0,0,0,0
0.231005083,1,1,0,1,0,1,0,0
0.231005167,1,1,0,1,0,0,0,0
0.231005333,1,1,0,1,0,1,0,0
0.231005417,1,1,0,1,0,0,0,0
0.231005583,1,1,0,1,0,1,0,0
0.231005750,1,1,0,1,0,0,0,1
0.231005833,1,1,0,1,0,1,0,1
0.231006000,1,1,0,1,0,0,1,0
0.231006083,1,1,0,1,0,1,1,0
0.231006250,1,1,0,1,0,0,1,1
0.231006333,1,1,0,1,0,1,1,1
0.231006500,1,1,0,1,0,0,1,1
0.231006583,1,1,0,1,0,1,1,1
0.231006750,1,1,0,1,0,0,0,1
0.231006833,1,1,0,1,0,1,0,1
0.231007000,1,1,0,1,0,0,0,0
0.231017917,1,1,0,1,0,1,0,0
0.231018083,1,1,0,1,0,0,0,0
0.231018167,1,1,0,1,0,1,0,0
0.231018333,1,1,0,1,0,0,0,0
0.231018417,1,1,0,1,0,1,0,0
0.231018583,1,1,0,1,0,0,1,0
0.231018667,1,1,0,1,0,1,1,0
0.231018833,1,1,0,1,0,0,0,0
0.231018917,1,1,0,1,0,1,0,0
0.231019083,1,1,0,1,0,0,0,0
0.231019250,1,1,0,1,0,1,0,0
0.231019333,1,1,0,1,0,0,0,0
0.231019500,1,1,0,1,0,1,0,0
0.231019583,1,1,0,1,0,0,1,0
0.231019750,1,1,0,1,0,1,1,0
0.231019833,1,1,0,1,0,0,0,0
0.231026333,1,1,0,1,1,0,0,0
0.231115667,1,1,0,1,0,0,0,0
0.231134917,1,1,0,1,0,1,0,0
0.231135000,1,1,0,1,0,0,0,0
0.231135167,1,1,0,1,0,1,0,0
0.231135250,1,1,0,1,0,0,0,0
0.231135417,1,1,0,1,0,1,0,0
0.231135583,1,1,0,1,0,0,0,1
0.231135667,1,1,0,1,0,1,0,1
0.231135833,1,1,0,1,0,0,1,0
0.231135917,1,1,0,1,0,1,1,0
0.231136083,1,1,0,1,0,0,1,1
0.231136167,1,1,0,1,0,1,1,1
0.231136333,1,1,0,1,0,0,1,1
0.231136417,1,1,0,1,0,1,1,1
0.231136583,1,1,0,1,0,0,0,1
0.231136667,1,1,0,1,0,1,0,1
0.231136833,1,1,0,1,0,0,0,0
0.231148583,1,1,0,1,0,1,0,0
0.231148667,1,1,0,1,0,0,0,0
0.231148833,1,1,0,1,0,1,0,0
0.231148917,1,1,0,1,0,0,0,0
0.231149083,1,1,0,1,0,1,0,0
0.231149250,1,1,0,1,0,0,1,0
0.231149333,1,1,0,1,0,1,1,0
0.231149500,1,1,0,1,0,0,0,0
0.231149583,1,1,0,1,0,1,0,0
0.231149750,1,1,0,1,0,0,0,0
0.231149833,1,1,0,1,0,1,0,0
0.231150000,1,1,0,1,0,0,0,0
0.231150083,1,1,0,1,0,1,0,0
0.231150250,1,1,0,1,0,0,1,0
0.231150333,1,1,0,1,0,1,1,0
0.231150500,1,1,0,1,0,0,0,0
0.231158583,1,1,0,1,1,0,0,0
0.231247083,1,1,0,1,0,0,0,0
0.231265917,1,1,0,1,0,1,0,0
0.231266083,1,1,0,1,0,0,0,0
0.231266167,1,1,0,1,0,1,0,0
0.231266333,1,1,0,1,0,0,0,0
0.231266417,1,1,0,1,0,1,0,0
0.231266583,1,1,0,1,0,0,0,1
0.231266667,1,1,0,1,0,1,0,1
0.231266833,1,1,0,1,0,0,1,0
0.231266917,1,1,0,1,0,1,1,0
0.231267083,1,1,0,1,0,0,1,1
0.231267167,1,1,0,1,0,1,1,1
0.231267333,1,1,0,1,0,0,1,1
0.231267500,1,1,0,1,0,1,1,1
0.231267583,1,1,0,1,0,0,0,1
0.231267750,1,1,0,1,0,1,0,1
0.231267833,1,1,0,1,0,0,0,0
0.231278833,1,1,0,1,0,1,0,0
0.231278917,1,1,0,1,0,0,0,0
0.231279083,1,1,0,1,0,1,0,0
0.231279167,1,1,0,1,0,0,0,0
0.231279333,1,1,0,1,0,1,0,0
0.231279417,1,1,0,1,0,0,1,0
0.231279583,1,1,0,1,0,1,1,0
0.231279667,1,1,0,1,0,0,1,0
0.231279750,1,1,0,1,0,0,0,0
0.231279833,1,1,0,1,0,1,0,0
0.231279917,1,1,0,1,0,0,0,0
0.231280083,1,1,0,1,0,1,0,0
0.231280167,1,1,0,1,0,0,0,0
0.231280333,1,1,0,1,0,1,0,0
0.231280417,1,1,0,1,0,0,0,0
